MESH	NCBI	nct_id	sentence	measurement	biomarker	year	date	Symbol	name
D017093	213	NCT03860155	The clinical chemistry values for sodium, potassium, calcium, urea, creatinine, albumin, total bilirubin, alanine aminotransferase, aspartate aminotransferase, gamma glytamyl transferase, alkaline phosphatase, CRP will be measured.	The clinical chemistry values for sodium, potassium, calcium, urea, creatinine, <span class='gene'>albumin</span>, total bilirubin, alanine aminotransferase, aspartate aminotransferase, gamma glytamyl transferase, alkaline phosphatase, CRP will be measured.	protein	2019	2019-03-01	ALB	Liver Failure
D017093	213	NCT03860155	The following laboratory variables will be measured and evaluated: Albumin, total bilirubin, alanine aminotransferase (ALT), aspartate aminotransferase (AST), gamma glutamyl transferase (GGT), alkaline phosphatase (AP).	The following laboratory variables will be measured and evaluated: <span class='gene'>Albumin</span>, total bilirubin, alanine aminotransferase (ALT), aspartate aminotransferase (AST), gamma glutamyl transferase (GGT), alkaline phosphatase (AP).	protein	2019	2019-03-01	ALB	Liver Failure
D017093	213	NCT03863002	Change of albumin (ALB) level as a maker of liver function	Change of <span class='gene'>albumin</span> (ALB) level as a maker of liver function	protein	2019	2019-03-05	ALB	Liver Failure
D017093	213	NCT03863002	Change of albumin (ALB) level as a maker of liver function	Change of <span class='gene'>ALB</span>umin (ALB) level as a maker of liver function	protein	2019	2019-03-05	ALB	Liver Failure
D017093	213	NCT03908255	The Child Pugh Score, used to measure overall liver health and prognosis of liver disease, will be calculated (after each lab measurement and clinical assessment using serum albumin, bilirubin, international normalized ratio, presence and severity of ascites and presence and severity of hepatic encephalopathy will be assessed using a numeric score assigned to each category. Total scores are a sum of each category and a higher total is associated with a worse prognosis. No subclassifications will be applied. Please see the reference section for a clinical application of this scale.	The Child Pugh Score, used to measure overall liver health and prognosis of liver disease, will be calculated (after each lab measurement and clinical assessment using <span class='gene'>serum albumin</span>, bilirubin, international normalized ratio, presence and severity of ascites and presence and severity of hepatic encephalopathy will be assessed using a numeric score assigned to each category. Total scores are a sum of each category and a higher total is associated with a worse prognosis. No subclassifications will be applied. Please see the reference section for a clinical application of this scale.	protein	2019	2019-04-09	ALB	Liver Failure
D017093	213	NCT03908255	Albumin	<span class='gene'>Albumin</span>	protein	2019	2019-04-09	ALB	Liver Failure
D017093	213	NCT03908255	Serum albumin measurement in grams per deciliter	<span class='gene'>Serum albumin</span> measurement in grams per deciliter	protein	2019	2019-04-09	ALB	Liver Failure
D017093	213	NCT04906083	Changes in albumin level refers to the changes of albumin at 24 week compared to baseline between the Intervention group and Control group.	Changes in <span class='gene'>albumin</span> level refers to the changes of albumin at 24 week compared to baseline between the Intervention group and Control group.	protein	2021	2021-05-28	ALB	Liver Failure
D017093	213	NCT04906083	Changes in albumin level	Changes in <span class='gene'>albumin</span> level	protein	2021	2021-05-28	ALB	Liver Failure
D017093	356	NCT02812121	Comparison of levels of FasL among the groups after UC-MSC infusions	Comparison of levels of <span class='gene'>FasL</span> among the groups after UC-MSC infusions	protein	2016	2016-06-24	FASLG	Liver Failure
D017093	551	NCT04447911	Change in plasma copeptin	Change in plasma <span class='gene'>copeptin</span>	protein	2020	2020-06-25	AVP	Liver Failure
D017093	590	NCT01218464	The levels of serum Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST) and Cholinesterase (CHE)	The levels of serum Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST) and <span class='gene'>Cholinesterase</span> (CHE)	protein	2010	2010-10-11	BCHE	Liver Failure
D017093	590	NCT01218464	The levels of serum Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST) and Cholinesterase (CHE)	The levels of serum Alanine Aminotransferase (ALT), Aspartate Aminotransferase (AST) and Cholinesterase (<span class='gene'>CHE</span>)	protein	2010	2010-10-11	BCHE	Liver Failure
D017093	836	NCT01937130	Concentration of Caspase 3/7 Relative Light Units	Concentration of <span class='gene'>Caspase 3</span>/7 Relative Light Units	protein	2013	2013-09-09	CASP3	Liver Failure
D017093	836	NCT01937130	Levels of Caspase 3/7 RLU	Levels of <span class='gene'>Caspase 3</span>/7 RLU	protein	2013	2013-09-09	CASP3	Liver Failure
D017093	947	NCT01036932	mobilization of CD34 cells in the peripheral blood	mobilization of <span class='gene'>CD34</span> cells in the peripheral blood	protein	2009	2009-12-21	CD34	Liver Failure
D017093	947	NCT01341951	• Mobilization of CD34 cells in the peripheral blood, a surrogate marker for hematopoietic stem cell mobilization	• Mobilization of <span class='gene'>CD34</span> cells in the peripheral blood, a surrogate marker for hematopoietic stem cell mobilization	protein	2011	2011-04-26	CD34	Liver Failure
D017093	947	NCT01383460	Transplant free survival at 6 months, histo-pathological evidence of hepatic regeneration and mobilization of CD34/stem cells, improvement in severity assessment indices	Transplant free survival at 6 months, histo-pathological evidence of hepatic regeneration and mobilization of <span class='gene'>CD34</span>/stem cells, improvement in severity assessment indices	cell_surface	2011	2011-06-28	CD34	Liver Failure
D017093	947	NCT02788240	Quantitative assessment of CD34 positive cells in liver biopsy samples in both groups.	Quantitative assessment of <span class='gene'>CD34</span> positive cells in liver biopsy samples in both groups.	cell_surface	2016	2016-06-02	CD34	Liver Failure
D017093	947	NCT02788240	Total number of CD34 positive cells in histopathological examination of bone marrow in both groups	Total number of <span class='gene'>CD34</span> positive cells in histopathological examination of bone marrow in both groups	cell_surface	2016	2016-06-02	CD34	Liver Failure
D017093	947	NCT02788240	On Immunohistochemistry of liver biopsy tissue,quantification of + ve CD34 cells will be done	On Immunohistochemistry of liver biopsy tissue,quantification of + ve <span class='gene'>CD34</span> cells will be done	cell_surface	2016	2016-06-02	CD34	Liver Failure
D017093	947	NCT02788240	Quantitative assessment of CD34 positive cells in serum in both groups.	Quantitative assessment of <span class='gene'>CD34</span> positive cells in serum in both groups.	protein	2016	2016-06-02	CD34	Liver Failure
D017093	973	NCT02837939	Changes in the levels of imunoglobulins IgA, IgG, IgM, IgD, IgE	Changes in the levels of imunoglobulins <span class='gene'>IgA</span>, IgG, IgM, IgD, IgE	protein	2016	2016-07-20	CD79A	Liver Failure
D017093	1401	NCT03065699	Outcome measure as compared between SoC and DIALIVE arm is: - Immune function: Incidence of Infection. Changes in white cell count and plasma-induced neutrophil function (Phagoburst and Phagotest), serum CRP and cytokines (TNF-α, IL-6, IL-8, IL-10, IL1RA).	Outcome measure as compared between SoC and DIALIVE arm is: - Immune function: Incidence of Infection. Changes in white cell count and plasma-induced neutrophil function (Phagoburst and Phagotest), serum <span class='gene'>CRP</span> and cytokines (TNF-α, IL-6, IL-8, IL-10, IL1RA).	protein	2017	2017-02-28	CRP	Liver Failure
D017093	1401	NCT03860155	Change of levels of C-reactive protein in serum at Weeks 3, 4, 8, 12, 16, 20 and 24	Change of levels of <span class='gene'>C-reactive protein</span> in serum at Weeks 3, 4, 8, 12, 16, 20 and 24	protein	2019	2019-03-01	CRP	Liver Failure
D017093	1401	NCT03860155	The clinical chemistry values for sodium, potassium, calcium, urea, creatinine, albumin, total bilirubin, alanine aminotransferase, aspartate aminotransferase, gamma glytamyl transferase, alkaline phosphatase, CRP will be measured.	The clinical chemistry values for sodium, potassium, calcium, urea, creatinine, albumin, total bilirubin, alanine aminotransferase, aspartate aminotransferase, gamma glytamyl transferase, alkaline phosphatase, <span class='gene'>CRP</span> will be measured.	protein	2019	2019-03-01	CRP	Liver Failure
D017093	1401	NCT03860155	C-reactive protein levels in the serum will be measured.	<span class='gene'>C-reactive protein</span> levels in the serum will be measured.	protein	2019	2019-03-01	CRP	Liver Failure
D017093	1803	NCT02183376	Plasma dipeptidyl peptidase-4 (DPP-4) activity	Plasma dipeptidyl peptidase-4 (<span class='gene'>DPP-4</span>) activity	protein	2014	2014-07-08	DPP4	Liver Failure
D017093	1803	NCT02183376	Plasma dipeptidyl peptidase-4 (DPP-4) activity	Plasma <span class='gene'>dipeptidyl peptidase-4</span> (DPP-4) activity	protein	2014	2014-07-08	DPP4	Liver Failure
D017093	1803	NCT02183376	Plasma DPP-4 concentration	Plasma <span class='gene'>DPP-4</span> concentration	protein	2014	2014-07-08	DPP4	Liver Failure
D017093	2056	NCT02161224	maximum achievable pharmacologic effect (Emax), area under the concentration-time curve from 0 up to last quantifiable concentration based on EPO concentration (AUCE,last), tmax	maximum achievable pharmacologic effect (Emax), area under the concentration-time curve from 0 up to last quantifiable concentration based on <span class='gene'>EPO</span> concentration (AUCE,last), tmax	biomarker	2014	2014-06-11	EPO	Liver Failure
D017093	2056	NCT02161224	Erythropoietin in plasma	<span class='gene'>Erythropoietin</span> in plasma	protein	2014	2014-06-11	EPO	Liver Failure
D017093	2147	NCT00287235	Renal function, serum bilirubin, bile acids, prothrombin activity and the hemodynamics of patients with Hepatic Encephalopathy	Renal function, serum bilirubin, bile acids, <span class='gene'>prothrombin</span> activity and the hemodynamics of patients with Hepatic Encephalopathy	protein	2006	2006-02-06	F2	Liver Failure
D017093	2147	NCT01013194	Assessment of the efficacy of human fetal liver progenitor cell transplantation on Meld score. The Model for End-stage Liver Disease (MELD) scoring system aims at stratifying recipients by their disease severity according to a score estimating the 3-month probability of death on the waiting list. The calculation of an individual's MELD score is based on three objective lab parameters (bilirubin, serum creatinine and prothrombin time expressed as international normalized ratio, INR) and it includes logarithmic transformations and multiplication by several factors. It ranges between 6 and 40. The highest is the score the lower is the patient's survival.	Assessment of the efficacy of human fetal liver progenitor cell transplantation on Meld score. The Model for End-stage Liver Disease (MELD) scoring system aims at stratifying recipients by their disease severity according to a score estimating the 3-month probability of death on the waiting list. The calculation of an individual's MELD score is based on three objective lab parameters (bilirubin, serum creatinine and <span class='gene'>prothrombin</span> time expressed as international normalized ratio, INR) and it includes logarithmic transformations and multiplication by several factors. It ranges between 6 and 40. The highest is the score the lower is the patient's survival.	protein	2009	2009-11-13	F2	Liver Failure
D017093	2147	NCT01201720	Conventional hepatic function parameters: aspartate transaminase, alanine transaminase, gamma-glutamyl transferase, alkaline phosphatase, total, conjugated and not conjugated serum bilirubin, serum albumin, international normalized ratio (INR) and prothrombin index	Conventional hepatic function parameters: aspartate transaminase, alanine transaminase, gamma-glutamyl transferase, alkaline phosphatase, total, conjugated and not conjugated serum bilirubin, serum albumin, international normalized ratio (INR) and <span class='gene'>prothrombin</span> index	protein	2010	2010-09-15	F2	Liver Failure
D017093	2147	NCT01218464	The levels of Prothrombin Activity (PA) and Prothrombin Time (PT)	The levels of <span class='gene'>Prothrombin</span> Activity (PA) and Prothrombin Time (PT)	protein	2010	2010-10-11	F2	Liver Failure
D017093	2147	NCT01318525	Rate of change of Prothrombin Rate initiation	Rate of change of <span class='gene'>Prothrombin</span> Rate initiation	protein	2011	2011-03-18	F2	Liver Failure
D017093	2147	NCT01724398	Improve biochemical indexes [alanine aminotransferase (ALT), albumin (ALB), total bilirubin (TBIL), prothrombin time (PT), INR and so on]	Improve biochemical indexes [alanine aminotransferase (ALT), albumin (ALB), total bilirubin (TBIL), <span class='gene'>prothrombin</span> time (PT), INR and so on]	protein	2012	2012-11-09	F2	Liver Failure
D017093	2147	NCT02115321	The MELD score provides an objective and granular assessment of liver improvement as a continuous variable. The calculation of MELD score is based on three biochemical variables (serum bilirubin, creatinine and international normalized ratio [INR] of prothrombin time). The MELD equation is as follows: 9.57 x ln(creatinine mg/dL) +3.78 x ln(bilirubin mg/dL) +11.2 x ln (INR) + 6.43. Scores are multiplied by 10 and rounded to the nearest whole number and range from 6 (less ill) to 40 (gravely ill). MELD scores were determined at Baseline (Day 1) and again at Week 12, Follow-up (FU) Week 12 (Week 24), and FU Week 24 (Week 36). Change from baseline in MELD score = Post-baseline MELD score - baseline MELD score.	The MELD score provides an objective and granular assessment of liver improvement as a continuous variable. The calculation of MELD score is based on three biochemical variables (serum bilirubin, creatinine and international normalized ratio [INR] of <span class='gene'>prothrombin</span> time). The MELD equation is as follows: 9.57 x ln(creatinine mg/dL) +3.78 x ln(bilirubin mg/dL) +11.2 x ln (INR) + 6.43. Scores are multiplied by 10 and rounded to the nearest whole number and range from 6 (less ill) to 40 (gravely ill). MELD scores were determined at Baseline (Day 1) and again at Week 12, Follow-up (FU) Week 12 (Week 24), and FU Week 24 (Week 36). Change from baseline in MELD score = Post-baseline MELD score - baseline MELD score.	protein	2014	2014-04-16	F2	Liver Failure
D017093	2147	NCT02170571	concentration-response relationship of dabigatran assessed by analysis of activated partial thromboplastin time (aPTT), ecarin clotting time (ECT) , prothrombin time (PT) expressed as international normalised ratio (INR), and thrombin time (TT)	concentration-response relationship of dabigatran assessed by analysis of activated partial thromboplastin time (aPTT), ecarin clotting time (ECT) , <span class='gene'>prothrombin</span> time (PT) expressed as international normalised ratio (INR), and thrombin time (TT)	protein	2014	2014-06-23	F2	Liver Failure
D017093	2147	NCT02310542	Tolerance will be evaluated by effect of albumin dialysis on coagulation indices : prothrombin time (seconds) and international normalized ratio, activated partial thromboplastin time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	Tolerance will be evaluated by effect of albumin dialysis on coagulation indices : <span class='gene'>prothrombin</span> time (seconds) and international normalized ratio, activated partial thromboplastin time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	protein	2014	2014-12-08	F2	Liver Failure
D017093	2147	NCT02375867	Efficacy 3 serum prothrombin time	Efficacy 3 serum <span class='gene'>prothrombin</span> time	protein	2015	2015-03-03	F2	Liver Failure
D017093	2147	NCT02375867	serum prothrombin time	serum <span class='gene'>prothrombin</span> time	protein	2015	2015-03-03	F2	Liver Failure
D017093	2147	NCT02584283	Defined as a modification of the Olthoff criteria: Prothrombin time/ international normalized ratio (INR) >1.6 and or serum total bilirubin >10 mg/dL on postoperative day 7	Defined as a modification of the Olthoff criteria: <span class='gene'>Prothrombin</span> time/ international normalized ratio (INR) >1.6 and or serum total bilirubin >10 mg/dL on postoperative day 7	protein	2015	2015-10-22	F2	Liver Failure
D017093	2147	NCT04195282	Prothrombin time	<span class='gene'>Prothrombin</span> time	protein	2019	2019-12-11	F2	Liver Failure
D017093	2147	NCT04195282	Prothrombin time is observed in the follow-up.	<span class='gene'>Prothrombin</span> time is observed in the follow-up.	protein	2019	2019-12-11	F2	Liver Failure
D017093	2147	NCT04906083	Changes in prothrombin time level refers to the changes of prothrombin time at 24 week compared to baseline between the Intervention group and Control group.	Changes in <span class='gene'>prothrombin</span> time level refers to the changes of prothrombin time at 24 week compared to baseline between the Intervention group and Control group.	protein	2021	2021-05-28	F2	Liver Failure
D017093	2147	NCT04906083	Changes in prothrombin time level	Changes in <span class='gene'>prothrombin</span> time level	protein	2021	2021-05-28	F2	Liver Failure
D017093	2152	NCT02170571	concentration-response relationship of dabigatran assessed by analysis of activated partial thromboplastin time (aPTT), ecarin clotting time (ECT) , prothrombin time (PT) expressed as international normalised ratio (INR), and thrombin time (TT)	concentration-response relationship of dabigatran assessed by analysis of activated partial <span class='gene'>thromboplastin</span> time (aPTT), ecarin clotting time (ECT) , prothrombin time (PT) expressed as international normalised ratio (INR), and thrombin time (TT)	protein	2014	2014-06-23	F3	Liver Failure
D017093	2152	NCT02310542	Tolerance will be evaluated by effect of albumin dialysis on coagulation indices : prothrombin time (seconds) and international normalized ratio, activated partial thromboplastin time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	Tolerance will be evaluated by effect of albumin dialysis on coagulation indices : prothrombin time (seconds) and international normalized ratio, activated partial <span class='gene'>thromboplastin</span> time ratio, fibrinogen level (g/L), factor V level (%), platelet count (×10(9) /L), hemoglobin level (g/L), red cell count (10(12)/L), hematocrit level (%). Coagulation indices will be measured by an arterial sample before and at the end of MARS™ dialysis (8 hours) and before and at the end of SPAD™ dialysis (10 hours) ; the two variations will be compared. Each patient will receive the two dialysis systems separated by a free interval that will last between 12 and 48 hours.	protein	2014	2014-12-08	F3	Liver Failure
D017093	2678	NCT01429038	Liver Transplantation: bilirubin, INR, transaminases, GGT, at day 7, months 1, 3, 6, 9, 12. Kidney Transplanttaion: number of post transplant hemodialysis, creatinine at day 7, months 1, 3, 6, 9, 12.	Liver Transplantation: bilirubin, INR, transaminases, <span class='gene'>GGT</span>, at day 7, months 1, 3, 6, 9, 12. Kidney Transplanttaion: number of post transplant hemodialysis, creatinine at day 7, months 1, 3, 6, 9, 12.	biomarker	2011	2011-09-05	GGT1	Liver Failure
D017093	2678	NCT03216668	The percentage of patients with GGT reduced to less than or equal to 40 U/L after 3 weeks of treatment, compared between Tonka and Silymarin (Legalon)	The percentage of patients with <span class='gene'>GGT</span> reduced to less than or equal to 40 U/L after 3 weeks of treatment, compared between Tonka and Silymarin (Legalon)	biomarker	2017	2017-07-13	GGT1	Liver Failure
D017093	2678	NCT03216668	The percentage of patients with GGT reduced to less than or equal to 80 U/L after 3 weeks of treatment, compared between Tonka and Silymarin (Legalon)	The percentage of patients with <span class='gene'>GGT</span> reduced to less than or equal to 80 U/L after 3 weeks of treatment, compared between Tonka and Silymarin (Legalon)	biomarker	2017	2017-07-13	GGT1	Liver Failure
D017093	2678	NCT03216668	The percentage of patients with GGT reduced to less than or equal to 80 U/L after 6 weeks of treatment, compared between Tonka and Silymarin (Legalon)	The percentage of patients with <span class='gene'>GGT</span> reduced to less than or equal to 80 U/L after 6 weeks of treatment, compared between Tonka and Silymarin (Legalon)	biomarker	2017	2017-07-13	GGT1	Liver Failure
D017093	2678	NCT03216668	The percentage of patients with GGT reduced to less than or equal to 40 U/L after 6 weeks of treatment, compared between Tonka and Silymarin (Legalon)	The percentage of patients with <span class='gene'>GGT</span> reduced to less than or equal to 40 U/L after 6 weeks of treatment, compared between Tonka and Silymarin (Legalon)	biomarker	2017	2017-07-13	GGT1	Liver Failure
D017093	2678	NCT03216668	The absolute change after treatment discontinuation from week 6 to week 10 in GGT , compared between Tonka and Silymarin (Legalon)	The absolute change after treatment discontinuation from week 6 to week 10 in <span class='gene'>GGT</span> , compared between Tonka and Silymarin (Legalon)	protein	2017	2017-07-13	GGT1	Liver Failure
D017093	2678	NCT03216668	The absolute change from Baseline to 6 weeks in GGT, compared between Tonka and Silymarin (Legalon)	The absolute change from Baseline to 6 weeks in <span class='gene'>GGT</span>, compared between Tonka and Silymarin (Legalon)	protein	2017	2017-07-13	GGT1	Liver Failure
